algo,expectile,temperature,critic_lr,batch_size,hidden_units,target_update_interval,reward_col,action_match,pdis,weighted_pdis,trajectory_is,trajectory_wis,dr,effective_sample_size,weight_mean,weight_max,mood_improvement,mood_n_matched,direct_method_v0,pdis_se,pdis_ci_low,pdis_ci_high,weighted_pdis_se,weighted_pdis_ci_low,weighted_pdis_ci_high,match_rate_se,match_rate_ci_low,match_rate_ci_high,dr_se,dr_ci_low,dr_ci_high,mood_improvement_se,mood_improvement_ci_low,mood_improvement_ci_high,lam,max_weight,actor_lr
iql,0.7,3.0,0.0001,64,"[256, 256]",100,reward_dense,0.11842105263157894,0.013886736865473516,0.08431489205611586,0.10565416002960161,0.433776184204695,-0.02882660796484513,2.2825211885800125,0.24356837437563048,5.0,2.0,2,0.13615365711633454,0.014303417234343665,-0.0030660501047300075,0.04443372104134162,0.04024797395871793,0.00013788742910101064,0.11785942844424976,0.01762178563377147,0.08770903010033444,0.1500546375707805,0.037012892109929044,-0.09029345231884014,0.0417931892684208,1.0,0.040000000000000036,3.96,,,
awac,0.7,,0.0001,64,"[256, 256]",100,reward_dense,0.2631578947368421,0.014014120263771152,0.08475692608183259,0.10565603446676236,0.4330029638167288,-0.018351949323475787,2.2892149657087124,0.24400764728132884,5.0,0.9761904648372105,7,0.21121670441194015,0.014301024888362966,-0.0028783272659388243,0.04453373824849063,0.03862443643199555,0.0036301515692048433,0.11679785864383707,0.02522805711517578,0.21170422215808354,0.30646699819168177,0.0670950433021566,-0.11886495276007034,0.10379726336329226,0.6240639237781223,-0.24697482576790908,2.19935575544233,1.0,100.0,0.0001
