reward_variant,algo,split,learning_rate,batch_size,target_update_interval,hidden_units,num_rows,num_episodes,td_error,action_match,value,pdis,trajectory_is,trajectory_wis,weighted_pdis,dr,effective_sample_size,weight_mean,weight_max,nonzero_weight_episodes,mood_improvement,direct_method_v0,action_none,action_increase_activity,action_decrease_activity,action_increase_sleep,action_decrease_sleep,action_increase_social,action_decrease_social,mood_n_matched,pdis_se,pdis_ci_low,pdis_ci_high,weighted_pdis_se,weighted_pdis_ci_low,weighted_pdis_ci_high,match_rate_se,match_rate_ci_low,match_rate_ci_high,dr_se,dr_ci_low,dr_ci_high,mood_improvement_se,mood_improvement_ci_low,mood_improvement_ci_high,action_match_se,action_match_ci_low,action_match_ci_high
reward_dense,double_dqn,test,0.0001,32,1000,256x256,305,45,0.09326263126874275,0.2,0.4835607986530808,0.01982092910768762,0.006498766917413252,0.025975252818862024,0.04351120263677471,0.5604139807947817,2.4696979911382795,0.2501907089310079,5.0,45,1.0,0.528681392967701,0.25245901639344265,0.12459016393442623,0.02622950819672131,0.30491803278688523,0.07540983606557378,0.12459016393442623,0.09180327868852459,1.0,0.013070921563480388,0.0019909277817450697,0.04964838053617627,0.023838440990832363,-0.019365932126591982,0.07107231886808081,0.02420945399383776,0.15271360399939404,0.23997843174846623,0.12382904358756626,0.33284877345602437,0.813506120479169,,1.0,1.0,0.02420945399383776,0.15271360399939404,0.23997843174846623
reward_dense,double_dqn,train,0.0001,32,1000,256x256,2436,76,0.0163817906855515,0.238095238095238,0.403139425929076,0.0117483065017677,0.0377521705261436,0.23574969775497,0.0689727783480386,1.0910878616000672,2.8643496968431945,0.1601366656485894,5.0,76,0.7058823529411765,0.5786009675970203,0.2779146141215107,0.0800492610837438,0.0225779967159277,0.3591954022988505,0.0537766830870279,0.1206896551724138,0.0857963875205254,,,,,,,,,,,,,,,,,,,
reward_dense,double_dqn,val,0.0001,32,1000,256x256,304,44,0.1209206385590928,0.1842105263157894,0.5053689533256387,0.032842903583715,0.0023346012579562,0.0197523548346478,0.0775179766997928,0.5743917391278383,1.0811017992530254,0.1181935661595683,5.0,44,0.4666666746139526,0.4648785274475813,0.2532894736842105,0.0723684210526315,0.0131578947368421,0.3355263157894737,0.1151315789473684,0.1151315789473684,0.0953947368421052,,,,,,,,,,,,,,,,,,,
reward_dense,dqn,test,6.25e-05,32,8000,256x256,305,45,0.061302691885782676,0.20655737704918034,0.20009898079786312,0.016658836159175697,0.006456725231752791,0.028678056738373602,0.03388830213448108,0.2786256059756781,2.0525292687011625,0.2251451446189923,5.0,45,,0.22602948736813333,0.21639344262295082,0.23278688524590163,0.022950819672131147,0.23934426229508196,0.04262295081967213,0.12786885245901639,0.1180327868852459,0.0,0.01290348964839629,-0.001450060351348376,0.04765887181609381,0.03210896758634095,-0.037721524659383304,0.08371710056650473,0.03264101880552334,0.1521744541334798,0.2793713666932634,0.09779877968531853,0.1292691619736337,0.5025192276320357,,,,0.03264101880552334,0.1521744541334798,0.2793713666932634
reward_dense,dqn,train,6.25e-05,32,8000,256x256,2436,76,0.0421503850116646,0.2048440065681445,0.1726467881729438,0.0125990324585193,0.0590944723348638,0.2139578310159213,0.0400774014716536,0.8973281184509484,4.367744448255868,0.2761968190379832,5.0,76,0.3518518474366929,0.2002360777083882,0.2430213464696223,0.2750410509031198,0.0110837438423645,0.2688834154351395,0.0394088669950738,0.0734811165845648,0.0890804597701149,,,,,,,,,,,,,,,,,,,
reward_dense,dqn,val,6.25e-05,32,8000,256x256,304,44,0.1026461256591526,0.1710526315789473,0.1913008642238166,0.0311206603989272,0.0021955061322277,0.0112710262338701,0.1023579809260667,0.2953957161093804,1.9987848211330967,0.194792034609071,5.0,44,1.2000000119209289,0.1296740098517727,0.2434210526315789,0.2335526315789473,0.0493421052631578,0.25,0.0263157894736842,0.0756578947368421,0.1217105263157894,,,,,,,,,,,,,,,,,,,
reward_observed_only,dqn,test,0.0001,64,1000,256x256,305,45,0.310799237676099,0.1311475409836065,0.7766030185535305,-0.0001064815918725,-5.8935427249895745e-12,-2.6206307776020264e-11,-0.0067829979135516,0.7146017274563985,2.047889055934142,0.2248902354105137,5.0,45,0.5833333283662796,0.7634815686278873,0.1311475409836065,0.2,0.0459016393442622,0.2590163934426229,0.1639344262295081,0.0983606557377049,0.101639344262295,,,,,,,,,,,,,,,,,,,
reward_observed_only,dqn,train,0.0001,64,1000,256x256,2436,76,0.0400146441359784,0.181855500821018,0.5982761624252365,4.751788939652594e-43,1.6965429378892077e-57,1.2436232091235158e-56,0.0245189231115728,1.2576871149809776,2.1446335517059083,0.136419369262568,5.0,76,0.6491228091089349,0.6883919031212204,0.1646141215106732,0.11247947454844,0.0509031198686371,0.2614942528735632,0.1083743842364532,0.160919540229885,0.1412151067323481,,,,,,,,,,,,,,,,,,,
reward_observed_only,dqn,val,0.0001,64,1000,256x256,304,44,0.4785305425843914,0.1677631578947368,0.8240920788559475,0.0115307841442295,2.4628582567006828e-11,2.1207849220102827e-10,0.039397206178866,0.7672162398644811,1.0441232016179216,0.1161295627453891,5.0,44,0.3888888955116272,0.7724253752014854,0.1611842105263158,0.0855263157894736,0.0361842105263157,0.2861842105263157,0.1875,0.1611842105263158,0.0822368421052631,,,,,,,,,,,,,,,,,,,
reward_sparse,dqn,test,0.0001,64,1000,256x256,305,45,0.310799237676099,0.1311475409836065,0.7766030185535305,-0.0001064815918725,-5.8935427249895745e-12,-2.6206307776020264e-11,-0.0067829979135516,0.7146017274563985,2.047889055934142,0.2248902354105137,5.0,45,0.5833333283662796,0.7634815686278873,0.1311475409836065,0.2,0.0459016393442622,0.2590163934426229,0.1639344262295081,0.0983606557377049,0.101639344262295,,,,,,,,,,,,,,,,,,,
reward_sparse,dqn,train,0.0001,64,1000,256x256,2436,76,0.0400146441359784,0.181855500821018,0.5982761624252365,4.751788939652594e-43,1.6965429378892077e-57,1.2436232091235158e-56,0.0245189231115728,1.2576871149809776,2.1446335517059083,0.136419369262568,5.0,76,0.6491228091089349,0.6883919031212204,0.1646141215106732,0.11247947454844,0.0509031198686371,0.2614942528735632,0.1083743842364532,0.160919540229885,0.1412151067323481,,,,,,,,,,,,,,,,,,,
reward_sparse,dqn,val,0.0001,64,1000,256x256,304,44,0.4785305425843914,0.1677631578947368,0.8240920788559475,0.0115307841442295,2.4628582567006828e-11,2.1207849220102827e-10,0.039397206178866,0.7672162398644811,1.0441232016179216,0.1161295627453891,5.0,44,0.3888888955116272,0.7724253752014854,0.1611842105263158,0.0855263157894736,0.0361842105263157,0.2861842105263157,0.1875,0.1611842105263158,0.0822368421052631,,,,,,,,,,,,,,,,,,,
