reward_variant,algo,n_steps,learning_rate,batch_size,target_update_interval,hidden_units,pdis,weighted_pdis,dr,action_match,mood_improvement,n_matched
reward_sparse,double_dqn,5000,0.0001,32,1000,256x256,-0.00010648266954464088,0.007326459709633761,0.5461392604176442,0.13114754098360656,1.0,1
reward_dense,double_dqn,5000,0.0001,32,1000,256x256,0.01982092910768762,0.04351120263677471,0.5604139807947817,0.2,1.0,1
reward_observed_only,double_dqn,5000,0.0001,32,1000,256x256,-0.00010648266954464088,0.007326459709633761,0.5461392604176442,0.13114754098360656,1.0,1
