reward_variant,split,dm_reward,ips_reward,snips_reward,dr_reward,matched_logged_reward_mean,matched_mood_improvement,matched_logged_action_count,action_match,importance_weight_mean,importance_weight_max,num_examples,action_rate_none,action_rate_increase_activity,action_rate_decrease_activity,action_rate_increase_sleep,action_rate_decrease_sleep,action_rate_increase_social,action_rate_decrease_social
reward_sparse,validation,0.16739177703857422,-0.02185684523682829,-0.1323183747681437,0.12743101040652088,-0.08638887852430344,0.8333333730697632,30,0.09868421052631579,0.16518374923458048,6.17866808102571,304,0.023026315789473683,0.45723684210526316,0.06578947368421052,0.05592105263157895,0.2236842105263158,0.0625,0.1118421052631579
reward_sparse,test,0.12039197236299515,-0.005404104746182958,-0.032483672570533716,0.10335955000336923,-0.0610119067132473,1.0,24,0.07868852459016394,0.16636372425096657,7.616698644160088,305,0.02622950819672131,0.5770491803278689,0.019672131147540985,0.036065573770491806,0.19672131147540983,0.05901639344262295,0.08524590163934426
reward_dense,validation,0.13160233199596405,-0.012718037854337236,-0.0396909442097068,0.1143508808959025,-0.020107856020331383,0.8333333730697632,54,0.17763157894736842,0.3204266894519209,10.0,304,0.33881578947368424,0.21052631578947367,0.06907894736842106,0.046052631578947366,0.19078947368421054,0.05921052631578947,0.08552631578947369
reward_dense,test,0.12105702608823776,0.014971515148700522,0.044283489530092236,0.12105839466125819,0.044376589357852936,,50,0.16393442622950818,0.3380834552012175,10.0,305,0.35737704918032787,0.3016393442622951,0.01639344262295082,0.036065573770491806,0.16065573770491803,0.05573770491803279,0.07213114754098361
reward_observed_only,validation,0.16739177703857422,-0.02185684523682829,-0.1323183747681437,0.12743101040652088,-0.08638887852430344,0.8333333730697632,30,0.09868421052631579,0.16518374923458048,6.17866808102571,304,0.023026315789473683,0.45723684210526316,0.06578947368421052,0.05592105263157895,0.2236842105263158,0.0625,0.1118421052631579
reward_observed_only,test,0.12039197236299515,-0.005404104746182958,-0.032483672570533716,0.10335955000336923,-0.0610119067132473,1.0,24,0.07868852459016394,0.16636372425096657,7.616698644160088,305,0.02622950819672131,0.5770491803278689,0.019672131147540985,0.036065573770491806,0.19672131147540983,0.05901639344262295,0.08524590163934426
