reward_variant,algo,learning_rate,batch_size,target_update_interval,hidden_units,td_error,action_match,value,loss,pdis,mood_improvement,direct_method_v0
reward_sparse,dqn,0.0001,32,1000,64x64,0.22264268959019387,0.16776315789473684,0.441437590818264,0.009083117755182321,0.01152795975760174,0.5000000099341074,0.44500136612491176
reward_sparse,dqn,0.0001,32,1000,256x256,0.41200108014704173,0.13486842105263158,0.7288682834294281,0.006025334071432007,0.01153078018173002,0.4666666746139526,0.6925357573411681
reward_sparse,dqn,0.0001,32,8000,64x64,0.22428707635927125,0.12828947368421054,0.244587094290182,0.007567071182356449,-1.2611080142916272e-05,1.0000000198682149,0.24097551981156523
reward_sparse,dqn,0.0001,32,8000,256x256,0.26451844611265257,0.13157894736842105,0.23117411011633904,0.002466220921936474,0.011527988545542038,1.0000000149011612,0.20046741151335565
reward_sparse,dqn,0.0001,64,1000,64x64,0.2431747214247222,0.15789473684210525,0.49878538841087566,0.008354869941249489,0.01152849924077234,0.7142857228006635,0.5049548680809411
reward_sparse,dqn,0.0001,64,1000,256x256,0.4785305425843914,0.16776315789473684,0.8240920788559475,0.004767970215709647,0.011530784144229575,0.3888888955116272,0.7724253752014854
reward_sparse,dqn,0.0001,64,8000,64x64,0.23646570673882444,0.1118421052631579,0.25665117697300094,0.006461094674526248,-1.2611080142916272e-05,1.0000000198682149,0.24720866029912775
reward_sparse,dqn,0.0001,64,8000,256x256,0.26653331528347285,0.15789473684210525,0.23305108098889163,0.0017882563988696348,0.011527988547099455,1.0000000149011612,0.20636803428219122
reward_sparse,dqn,6.25e-05,32,1000,64x64,0.20986310387068227,0.14144736842105263,0.3924640754335805,0.01001895395910833,5.006526219097381e-05,1.1111111243565877,0.40205918523398315
reward_sparse,dqn,6.25e-05,32,1000,256x256,0.30426572435479365,0.17105263157894737,0.5716120022300043,0.006347991862060735,0.011528499199699527,0.4666666746139526,0.5494887412271716
reward_sparse,dqn,6.25e-05,32,8000,64x64,0.2106274860328809,0.13157894736842105,0.22142847448489383,0.008824064115283544,-1.0330091427837946e-05,1.6666666865348816,0.2273160298778252
