reward_variant,algo,split,learning_rate,batch_size,target_update_interval,hidden_units,student_id,num_rows,num_students,action_match,dominant_policy_action,dominant_policy_action_rate,policy_collapsed,increase_sleep_rate,increase_activity_rate,increase_social_rate,policy_action_rate_none,policy_action_rate_increase_activity,policy_action_rate_decrease_activity,policy_action_rate_increase_sleep,policy_action_rate_decrease_sleep,policy_action_rate_increase_social,policy_action_rate_decrease_social,logged_action_rate_none,logged_action_rate_increase_activity,logged_action_rate_decrease_activity,logged_action_rate_increase_sleep,logged_action_rate_decrease_sleep,logged_action_rate_increase_social,logged_action_rate_decrease_social,reliable_support,num_episodes,td_error,value,pdis,trajectory_is,trajectory_wis,weighted_pdis,dr,effective_sample_size,weight_mean,weight_max,nonzero_weight_episodes,mood_improvement,direct_method_v0
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u00,57,1,0.3157894736842105,increase_sleep,0.3157894736842105,False,0.3157894736842105,0.12280701754385964,0.10526315789473684,0.2807017543859649,0.12280701754385964,0.03508771929824561,0.3157894736842105,0.03508771929824561,0.10526315789473684,0.10526315789473684,0.3333333333333333,0.10526315789473684,0.12280701754385964,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.07017543859649122,True,1,0.019643433937779235,0.33360538798335354,-0.0021328217866956973,-6.867358219379796e-79,-0.1622122809561906,-0.0028458294904594836,0.831291814813007,1.0,4.2335624521761664e-78,4.2335624521761664e-78,1,,0.3769594728946686
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u01,52,1,0.1346153846153846,increase_sleep,0.3076923076923077,False,0.3076923076923077,0.17307692307692307,0.07692307692307693,0.28846153846153844,0.17307692307692307,0.019230769230769232,0.3076923076923077,0.038461538461538464,0.07692307692307693,0.09615384615384616,0.2692307692307692,0.19230769230769232,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.057692307692307696,0.019230769230769232,True,2,0.011598162891302239,0.3768048877111421,0.03298323309773564,2.4844463435749755e-16,0.29683049466511335,0.007867645446453974,1.679492951196177,1.0,8.369916124614989e-16,1.6739832249229978e-15,2,,0.6692676544189453
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u02,55,1,0.18181818181818182,increase_sleep,0.32727272727272727,False,0.32727272727272727,0.09090909090909091,0.14545454545454545,0.2545454545454545,0.09090909090909091,0.03636363636363636,0.32727272727272727,0.03636363636363636,0.14545454545454545,0.10909090909090909,0.2909090909090909,0.2,0.14545454545454545,0.05454545454545454,0.05454545454545454,0.16363636363636364,0.09090909090909091,True,1,0.009383670474670229,0.43282802660356867,0.01334134923086002,1.453330111371626e-88,0.5964985569576767,0.010845428308321392,1.630992541933381,1.0,2.4364352510491387e-88,2.4364352510491387e-88,1,,0.6866878867149353
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u03,53,1,0.3584905660377358,none,0.3584905660377358,False,0.2641509433962264,0.05660377358490566,0.11320754716981132,0.3584905660377358,0.05660377358490566,0.05660377358490566,0.2641509433962264,0.05660377358490566,0.11320754716981132,0.09433962264150944,0.22641509433962265,0.16981132075471697,0.16981132075471697,0.09433962264150944,0.09433962264150944,0.11320754716981132,0.1320754716981132,True,1,0.013623545934076435,0.45600846613634305,3.2253130832533966e-05,6.896614922519807e-69,0.445046668024939,0.008397106943866774,0.5646739378119462,1.0,1.5496385925381973e-68,1.5496385925381973e-68,1,,0.45738354325294495
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u04,55,1,0.2,increase_sleep,0.38181818181818183,False,0.38181818181818183,0.10909090909090909,0.12727272727272726,0.23636363636363636,0.10909090909090909,0.03636363636363636,0.38181818181818183,0.03636363636363636,0.12727272727272726,0.07272727272727272,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.07272727272727272,0.09090909090909091,0.14545454545454545,0.14545454545454545,True,1,0.015535040067036541,0.4170219688252969,0.008732995219038479,1.4429533545568667e-85,0.622752173603713,0.011322766792794781,1.5507420070508269,1.0,2.3170587204968744e-85,2.3170587204968744e-85,1,,0.8393649458885193
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u05,54,1,0.18518518518518517,none,0.2962962962962963,False,0.2777777777777778,0.14814814814814814,0.16666666666666666,0.2962962962962963,0.14814814814814814,0.018518518518518517,0.2777777777777778,0.07407407407407407,0.16666666666666666,0.018518518518518517,0.35185185185185186,0.25925925925925924,0.24074074074074073,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.037037037037037035,True,1,0.01478746932987094,0.33903033300130453,0.001247110514503941,3.445991119771949e-90,0.23586723344351723,0.004367911730435509,0.4315989089004603,1.0,1.4609876367575895e-89,1.4609876367575895e-89,1,,0.3671821355819702
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u07,52,1,0.23076923076923078,increase_sleep,0.5,False,0.5,0.057692307692307696,0.1346153846153846,0.19230769230769232,0.057692307692307696,0.019230769230769232,0.5,0.038461538461538464,0.1346153846153846,0.057692307692307696,0.34615384615384615,0.1346153846153846,0.15384615384615385,0.15384615384615385,0.09615384615384616,0.07692307692307693,0.038461538461538464,True,1,0.010646194562486225,0.37186066455279404,7.929156696658453e-06,1.629129740708766e-79,0.22589591685526256,0.004344152247216582,0.3827326222603252,1.0,7.211860060988142e-79,7.211860060988142e-79,1,,0.3458803594112396
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u08,54,1,0.24074074074074073,none,0.25925925925925924,False,0.25925925925925924,0.05555555555555555,0.18518518518518517,0.25925925925925924,0.05555555555555555,0.018518518518518517,0.25925925925925924,0.14814814814814814,0.18518518518518517,0.07407407407407407,0.18518518518518517,0.16666666666666666,0.2037037037037037,0.1111111111111111,0.12962962962962962,0.1111111111111111,0.09259259259259259,True,1,0.011371828171629912,0.4309445323370811,0.002257113894942564,9.968635081179463e-80,0.595837173768344,0.011034021736450815,1.4801820792657918,1.0,1.6730468524031996e-79,1.6730468524031996e-79,1,,0.7225877642631531
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u09,54,1,0.16666666666666666,increase_sleep,0.4444444444444444,False,0.4444444444444444,0.09259259259259259,0.1111111111111111,0.18518518518518517,0.09259259259259259,0.018518518518518517,0.4444444444444444,0.018518518518518517,0.1111111111111111,0.12962962962962962,0.4074074074074074,0.24074074074074073,0.2037037037037037,0.018518518518518517,0.0,0.09259259259259259,0.037037037037037035,True,1,0.006927882327730644,0.3573022549627004,0.012622700319600177,1.1241510165636877e-83,0.9263002350987103,0.01715370805738354,3.0755100871067507,1.0,1.2135924983802834e-83,1.2135924983802834e-83,1,,1.2504771947860718
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u10,54,1,0.3333333333333333,increase_sleep,0.42592592592592593,False,0.42592592592592593,0.07407407407407407,0.05555555555555555,0.25925925925925924,0.07407407407407407,0.018518518518518517,0.42592592592592593,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.2037037037037037,0.14814814814814814,0.09259259259259259,0.12962962962962962,0.09259259259259259,0.14814814814814814,0.18518518518518517,True,1,0.01387074635369298,0.3884507260388798,0.03214647979626547,6.7243642363750005e-68,0.9800090283961699,0.018148315340669824,2.624855345044763,1.0,6.861532946670638e-68,6.861532946670638e-68,1,1.0,0.6860683560371399
