reward_variant,algo,split,learning_rate,batch_size,target_update_interval,hidden_units,subgroup,num_rows,num_students,action_match,dominant_policy_action,dominant_policy_action_rate,policy_collapsed,increase_sleep_rate,increase_activity_rate,increase_social_rate,policy_action_rate_none,policy_action_rate_increase_activity,policy_action_rate_decrease_activity,policy_action_rate_increase_sleep,policy_action_rate_decrease_sleep,policy_action_rate_increase_social,policy_action_rate_decrease_social,logged_action_rate_none,logged_action_rate_increase_activity,logged_action_rate_decrease_activity,logged_action_rate_increase_sleep,logged_action_rate_decrease_sleep,logged_action_rate_increase_social,logged_action_rate_decrease_social,reliable_support,num_episodes,td_error,value,pdis,trajectory_is,trajectory_wis,weighted_pdis,dr,effective_sample_size,weight_mean,weight_max,nonzero_weight_episodes,mood_improvement,direct_method_v0
reward_dense,double_dqn,train,0.0001,32,1000,256x256,mood_observed,118,34,0.3050847457627119,decrease_sleep,0.2796610169491525,False,0.1271186440677966,0.11016949152542373,0.06779661016949153,0.1864406779661017,0.11016949152542373,0.01694915254237288,0.1271186440677966,0.2796610169491525,0.06779661016949153,0.211864406779661,0.2457627118644068,0.1694915254237288,0.0847457627118644,0.09322033898305085,0.17796610169491525,0.11864406779661017,0.11016949152542373,True,36,0.10350403250625709,0.6709858795343819,0.024478100768213818,0.013631459337623365,0.10008472557838993,0.16436874605520857,0.5950689593412157,2.6060385351092625,0.13619919781811982,2.6758007961781898,36,0.7058823529411765,0.6082569799489446
reward_dense,double_dqn,train,0.0001,32,1000,256x256,mood_missing,2318,49,0.23468507333908542,increase_sleep,0.3710094909404659,False,0.3710094909404659,0.07851596203623813,0.12338222605694564,0.2825711820534944,0.07851596203623813,0.02286453839516825,0.3710094909404659,0.04227782571182054,0.12338222605694564,0.07937877480586712,0.34124245038826573,0.135893011216566,0.14106988783433994,0.0996548748921484,0.08412424503882658,0.10396893874029335,0.09404659188955997,True,76,0.016453326706626532,0.3895044468220314,0.012308730191694255,0.05252406509472084,0.24447319474422738,0.06812925888684793,1.0515127532381225,3.5079808892972104,0.21484590631571096,5.0,76,,0.5786009675970203
reward_dense,double_dqn,train,0.0001,32,1000,256x256,low_mood,85,34,0.29411764705882354,decrease_sleep,0.35294117647058826,False,0.09411764705882353,0.10588235294117647,0.08235294117647059,0.16470588235294117,0.10588235294117647,0.023529411764705882,0.09411764705882353,0.35294117647058826,0.08235294117647059,0.17647058823529413,0.2823529411764706,0.17647058823529413,0.07058823529411765,0.07058823529411765,0.16470588235294117,0.1411764705882353,0.09411764705882353,True,36,0.08062226890913948,0.6056231195435805,0.04380299495629894,0.013328548843633076,0.09637579178584016,0.16227898037013966,0.5672274492841434,2.6865273740669204,0.1382976844771443,2.6758007961781898,36,0.9861111144224802,0.5888402602738805
reward_dense,double_dqn,train,0.0001,32,1000,256x256,high_mood,33,13,0.3333333333333333,decrease_social,0.30303030303030304,False,0.21212121212121213,0.12121212121212122,0.030303030303030304,0.24242424242424243,0.12121212121212122,0.0,0.21212121212121213,0.09090909090909091,0.030303030303030304,0.30303030303030304,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.15151515151515152,0.21212121212121213,0.06060606060606061,0.15151515151515152,True,13,0.2573193026548159,0.8393444780147437,0.07521731983121406,0.0009400442150959003,0.11429637250511854,0.3092678370372008,0.6828854803580137,7.850869604837363,0.008224619858813124,0.021085367028235467,13,0.033333325386047365,0.7532970515581278
reward_dense,double_dqn,train,0.0001,32,1000,256x256,low_sleep,845,43,0.17514792899408285,none,0.3621301775147929,False,0.35976331360946745,0.04378698224852071,0.0863905325443787,0.3621301775147929,0.04378698224852071,0.009467455621301775,0.35976331360946745,0.09112426035502959,0.0863905325443787,0.047337278106508875,0.3301775147928994,0.12662721893491125,0.1467455621301775,0.0035502958579881655,0.18461538461538463,0.11242603550295859,0.09585798816568047,True,54,0.03661068089773104,0.46480647914728823,0.0019952538137398453,0.01036246997955543,0.16694273828940268,-0.022810199070218463,0.5786292312034149,1.2490695037389494,0.06207200196747478,2.9786990684134667,54,0.7666666507720947,0.43336008330462156
reward_dense,double_dqn,train,0.0001,32,1000,256x256,normal_sleep,1591,49,0.2715273412947832,increase_sleep,0.35889377749842866,False,0.35889377749842866,0.09930861093651791,0.13890634820867379,0.23318667504714016,0.09930861093651791,0.0295411690760528,0.35889377749842866,0.0339409176618479,0.13890634820867379,0.10622250157133878,0.34003771213073536,0.1433060967944689,0.13387806411062225,0.15021998742928974,0.03771213073538655,0.1005656819610308,0.09428032683846638,True,69,0.03056400901074824,0.37038728261763365,0.018306430705616245,0.04132300488349067,0.1683427439175618,0.10431801839131498,0.9359238828444075,3.7354343469488573,0.2454694744890622,5.0,69,0.6805555621782938,0.5818265797435374
reward_dense,double_dqn,train,0.0001,32,1000,256x256,low_activity,722,47,0.2146814404432133,increase_sleep,0.3476454293628809,False,0.3476454293628809,0.04293628808864266,0.09279778393351801,0.3379501385041551,0.04293628808864266,0.018005540166204988,0.3476454293628809,0.04293628808864266,0.09279778393351801,0.11772853185595568,0.3587257617728532,0.002770083102493075,0.24792243767313019,0.09418282548476455,0.08310249307479224,0.09418282548476455,0.11911357340720222,True,63,0.05002228831800522,0.4068906242769583,0.025663142243805413,0.07450810590568022,0.4148434903054442,0.05384677464377292,0.5344719377415016,2.5129727302578977,0.17960533947590887,5.0,63,0.5740740829043918,0.4673063938343336
reward_dense,double_dqn,train,0.0001,32,1000,256x256,high_activity,451,49,0.22394678492239467,increase_sleep,0.30376940133037694,False,0.30376940133037694,0.13082039911308205,0.15299334811529933,0.17738359201773837,0.13082039911308205,0.04878048780487805,0.30376940133037694,0.10199556541019955,0.15299334811529933,0.08425720620842572,0.16186252771618626,0.5343680709534369,0.04656319290465632,0.07538802660753881,0.0598669623059867,0.07095343680709534,0.050997782705099776,True,63,0.0893568830686797,0.44714132376570676,0.03474490141998675,0.10725558150533673,0.30140200513732934,0.13286419028262975,0.6803553123465234,4.9246422454358445,0.35585556723973133,5.0,63,0.75,0.5348753524678094
reward_dense,double_dqn,train,0.0001,32,1000,256x256,low_social,402,49,0.2537313432835821,none,0.47761194029850745,False,0.19402985074626866,0.14676616915422885,0.022388059701492536,0.47761194029850745,0.14676616915422885,0.014925373134328358,0.19402985074626866,0.02736318407960199,0.022388059701492536,0.11691542288557213,0.35074626865671643,0.11691542288557213,0.08955223880597014,0.04228855721393035,0.04228855721393035,0.03482587064676617,0.32338308457711445,True,71,0.0914959991696192,0.5632959344512343,0.0034138091347175503,-0.014166588023964151,-0.024147254048428757,-0.022937928916266084,0.30155894523809834,8.622841731204199,0.5866749070329991,5.0,71,0.875,0.5906672660313862
reward_dense,double_dqn,train,0.0001,32,1000,256x256,high_social,766,49,0.24934725848563968,increase_sleep,0.35900783289817234,False,0.35900783289817234,0.07180156657963446,0.2362924281984334,0.18407310704960836,0.07180156657963446,0.028720626631853787,0.35900783289817234,0.0835509138381201,0.2362924281984334,0.03655352480417755,0.29112271540469975,0.16057441253263707,0.1174934725848564,0.1227154046997389,0.10443864229765012,0.19451697127937337,0.009138381201044387,True,65,0.05407365795816208,0.36681709407802,0.014921031066800192,0.036605784825603345,1.5801529052959666,0.15374189800179403,0.6429747708677873,1.0583926615789445,0.02316597634502149,1.4635437399063902,65,1.1666666746139527,0.50023792174
